batch_size,no_nodes,look_back,theta,kernel_size,filters,padding,acc,auc,return
8,30,1,0,4,8,same,0.5792584631918324,0.877752423286438,3.1591601313794664
8,30,1,0.1,4,8,same,0.5792584631918324,0.877752423286438,2.5178264929076972
8,30,1,0.2,4,8,same,0.5792584631918324,0.877752423286438,2.2178279453857095
8,30,1,0,4,32,same,0.5330467490596453,0.8844408988952637,2.3764974193991537
8,30,1,0.1,4,32,same,0.5330467490596453,0.8844408988952637,2.5601941611314
8,30,1,0.2,4,32,same,0.5330467490596453,0.8844408988952637,2.456497616826301
8,30,1,0,4,48,same,0.5518538420204191,0.8939613699913025,2.4937621702726003
8,30,1,0.1,4,48,same,0.5518538420204191,0.8939613699913025,2.1550642598170135
8,30,1,0.2,4,48,same,0.5518538420204191,0.8939613699913025,0.987065223214054
8,30,1,0,8,8,same,0.5255239118753359,0.8740824460983276,1.6339039035094627
8,30,1,0.1,8,8,same,0.5255239118753359,0.8740824460983276,1.631284172690271
8,30,1,0.2,8,8,same,0.5255239118753359,0.8740824460983276,1.5683736453815982
8,30,1,0,8,32,same,0.5577646426652337,0.8934751152992249,2.5112508299039846
8,30,1,0.1,8,32,same,0.5577646426652337,0.8934751152992249,2.0701065258357554
8,30,1,0.2,8,32,same,0.5577646426652337,0.8934751152992249,2.0262303381214095
8,30,1,0,8,48,same,0.570123589468028,0.8865072727203369,4.014506755376501
8,30,1,0.1,8,48,same,0.570123589468028,0.8865072727203369,3.8600301073005823
8,30,1,0.2,8,48,same,0.570123589468028,0.8865072727203369,3.0613140392354237
8,30,1,0,16,8,same,0.5432563138097797,0.8756129145622253,2.005096764094701
8,30,1,0.1,16,8,same,0.5432563138097797,0.8756129145622253,1.8852841070814634
8,30,1,0.2,16,8,same,0.5432563138097797,0.8756129145622253,1.7580146241559829
8,30,1,0,16,32,same,0.552928533046749,0.8899134397506714,2.667120548192866
8,30,1,0.1,16,32,same,0.552928533046749,0.8899134397506714,2.576356256864505
8,30,1,0.2,16,32,same,0.552928533046749,0.8899134397506714,2.441027720137513
8,30,1,0,16,48,same,0.5577646426652337,0.8862358331680298,3.7138012146679125
8,30,1,0.1,16,48,same,0.5577646426652337,0.8862358331680298,3.3541238196271537
8,30,1,0.2,16,48,same,0.5577646426652337,0.8862358331680298,2.880208141775526
8,30,1,0,24,8,same,0.5325094035464804,0.8770882487297058,1.9673411273537273
8,30,1,0.1,24,8,same,0.5325094035464804,0.8770882487297058,1.89399136646542
8,30,1,0.2,24,8,same,0.5325094035464804,0.8770882487297058,1.8057087019315734
8,30,1,0,24,32,same,0.5776464266523375,0.8747179508209229,3.67789146559515
8,30,1,0.1,24,32,same,0.5776464266523375,0.8747179508209229,3.5740706310888313
8,30,1,0.2,24,32,same,0.5776464266523375,0.8747179508209229,2.9302811065558543
8,30,1,0,24,48,same,0.5900053734551316,0.907389760017395,2.3174908450304272
8,30,1,0.1,24,48,same,0.5900053734551316,0.907389760017395,1.985167966544416
8,30,1,0.2,24,48,same,0.5900053734551316,0.907389760017395,1.7976944081741004
8,30,6,0,4,8,same,0.8529094827586207,0.9665705561637878,27.920675511663745
8,30,6,0.1,4,8,same,0.8529094827586207,0.9665705561637878,27.24078382754353
8,30,6,0.2,4,8,same,0.8529094827586207,0.9665705561637878,26.07900610521905
