dropout,batch_size,no_nodes,look_back,theta,acc,auc,return
0.0,70.0,100.0,1.0,0.0,0.7571198280494358,0.8167078495025635,14.936567145421126
0.0,70.0,100.0,1.0,0.1,0.7571198280494358,0.8167078495025635,12.730758301179595
0.0,70.0,100.0,1.0,0.2,0.7571198280494358,0.8167078495025635,8.196421713984341
0.0,8.0,30.0,1.0,0.0,0.6646963997850618,0.8330564498901367,7.390465076374812
0.0,8.0,30.0,1.0,0.1,0.6646963997850618,0.8330564498901367,5.746747492037844
0.0,8.0,30.0,1.0,0.2,0.6646963997850618,0.8330564498901367,4.538311334147848
0.0,8.0,30.0,3.0,0.0,0.9279182356105432,0.9761741757392884,40.00259203794069
0.0,8.0,30.0,3.0,0.1,0.9279182356105432,0.9761741757392884,39.95976714721748
0.0,8.0,30.0,3.0,0.2,0.9279182356105432,0.9761741757392884,38.61204610881371
0.0,8.0,30.0,6.0,0.0,0.9304956896551724,0.9779574275016784,41.4867272497549
0.0,8.0,30.0,6.0,0.1,0.9304956896551724,0.9779574275016784,41.877869393688826
0.0,8.0,30.0,6.0,0.2,0.9304956896551724,0.9779574275016784,40.28880470134045
0.0,8.0,30.0,9.0,0.0,0.9347004856988668,0.978852152824402,41.574216005874774
0.0,8.0,30.0,9.0,0.1,0.9347004856988668,0.978852152824402,41.116688511328604
0.0,8.0,30.0,9.0,0.2,0.9347004856988668,0.978852152824402,41.14062108378275
0.0,8.0,30.0,12.0,0.0,0.9254054054054054,0.9785805344581604,40.59370308916722
0.0,8.0,30.0,12.0,0.1,0.9254054054054054,0.9785805344581604,40.5986189357176
0.0,8.0,30.0,12.0,0.2,0.9254054054054054,0.9785805344581604,40.123851274453784
0.0,8.0,30.0,18.0,0.0,0.9370932754880694,0.9779406189918518,40.818601523666274
0.0,8.0,30.0,18.0,0.1,0.9370932754880694,0.9779406189918518,40.29551016289472
0.0,8.0,30.0,18.0,0.2,0.9370932754880694,0.9779406189918518,39.77441672432313
0.0,8.0,30.0,24.0,0.0,0.942328618063112,0.9789789319038392,40.70242179970463
0.0,8.0,30.0,24.0,0.1,0.942328618063112,0.9789789319038392,41.41982511849484
0.0,8.0,30.0,24.0,0.2,0.942328618063112,0.9789789319038392,40.295205426866744
0.0,8.0,50.0,1.0,0.0,0.6630843632455669,0.8333101868629456,7.571993838471405
0.0,8.0,50.0,1.0,0.1,0.6630843632455669,0.8333101868629456,6.335237737088118
0.0,8.0,50.0,1.0,0.2,0.6630843632455669,0.8333101868629456,4.863940902624192
0.0,8.0,50.0,3.0,0.0,0.9279182356105432,0.9769150614738464,40.56411587495767
0.0,8.0,50.0,3.0,0.1,0.9279182356105432,0.9769150614738464,39.567601987696634
0.0,8.0,50.0,3.0,0.2,0.9279182356105432,0.9769150614738464,38.02802148249828
0.0,8.0,50.0,6.0,0.0,0.9342672413793104,0.9790708422660828,40.91171927704617
0.0,8.0,50.0,6.0,0.1,0.9342672413793104,0.9790708422660828,40.314376857848046
0.0,8.0,50.0,6.0,0.2,0.9342672413793104,0.9790708422660828,39.56655948896261
0.0,8.0,50.0,9.0,0.0,0.9303831624392876,0.979701280593872,40.19658873923774
0.0,8.0,50.0,9.0,0.1,0.9303831624392876,0.979701280593872,40.35872435347442
0.0,8.0,50.0,9.0,0.2,0.9303831624392876,0.979701280593872,39.626420952940734
0.0,8.0,50.0,12.0,0.0,0.9372972972972972,0.9811276197433472,41.98918846985767
0.0,8.0,50.0,12.0,0.1,0.9372972972972972,0.9811276197433472,41.21617396448795
0.0,8.0,50.0,12.0,0.2,0.9372972972972972,0.9811276197433472,40.6333206664502
0.0,8.0,50.0,18.0,0.0,0.9376355748373102,0.9795693159103394,40.37903443619877
0.0,8.0,50.0,18.0,0.1,0.9376355748373102,0.9795693159103394,40.41654192118178
0.0,8.0,50.0,18.0,0.2,0.9376355748373102,0.9795693159103394,39.62806727268196
0.0,8.0,50.0,24.0,0.0,0.9466811751904244,0.97935551404953,40.76301788780821
0.0,8.0,50.0,24.0,0.1,0.9466811751904244,0.97935551404953,40.381698970692575
0.0,8.0,50.0,24.0,0.2,0.9466811751904244,0.97935551404953,40.46669762767064
0.0,8.0,70.0,1.0,0.0,0.6754433100483611,0.8345414996147156,8.765674985286305
0.0,8.0,70.0,1.0,0.1,0.6754433100483611,0.8345414996147156,6.876943558955102
0.0,8.0,70.0,1.0,0.2,0.6754433100483611,0.8345414996147156,5.998759986928059
0.0,8.0,70.0,3.0,0.0,0.9295320064550834,0.9772033095359802,40.403445903953454
0.0,8.0,70.0,3.0,0.1,0.9295320064550834,0.9772033095359802,39.26191120766895
0.0,8.0,70.0,3.0,0.2,0.9295320064550834,0.9772033095359802,38.945112788850395
0.0,8.0,70.0,6.0,0.0,0.9445043103448276,0.9799764156341552,42.94656082558393
0.0,8.0,70.0,6.0,0.1,0.9445043103448276,0.9799764156341552,43.41178792948576
0.0,8.0,70.0,6.0,0.2,0.9445043103448276,0.9799764156341552,42.61852454135533
0.0,8.0,70.0,9.0,0.0,0.9438747976254722,0.9814074039459229,42.54569316835081
0.0,8.0,70.0,9.0,0.1,0.9438747976254722,0.9814074039459229,42.19461665300841
0.0,8.0,70.0,9.0,0.2,0.9438747976254722,0.9814074039459229,42.136576144365016
0.0,8.0,70.0,12.0,0.0,0.94,0.9810855984687804,42.086577008101685
0.0,8.0,70.0,12.0,0.1,0.94,0.9810855984687804,41.64971567542724
0.0,8.0,70.0,12.0,0.2,0.94,0.9810855984687804,41.48907860913211
